StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ConsentYorN,AC1,AC2,ScenarioTiming_First Click,ScenarioTiming_Last Click,ScenarioTiming_Page Submit,ScenarioTiming_Click Count,PalterTiming_First Click,PalterTiming_Last Click,PalterTiming_Page Submit,PalterTiming_Click Count,LieTiming_First Click,LieTiming_Last Click,LieTiming_Page Submit,LieTiming_Click Count,HonestyTiming_First Click,HonestyTiming_Last Click,HonestyTiming_Page Submit,HonestyTiming_Click Count,AnswerUnethical_1,AnswerUnethical_2,AnswerUnethical_3,BuyerUnethical_1,BuyerUnethical_2,BuyerUnethical_3,BuyerCreative_1,BuyerCreative_2,BuyerCreative_3,FutureNegotiation,BuyerTrust,Gender,Age,SurveyCode
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,I have read and understand the above information and agree to participate in this study.,The picture below represents...,Please check all words that describe how you are currently feeling.,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,To what extent do you think the answer the Buyer gave you was… - ... unethical,To what extent do you think the answer the Buyer gave you was… - ... dishonest,To what extent do you think the answer the Buyer gave you was… - ... immoral,To what extent do you think the Buyer is… - ... unethical,To what extent do you think the Buyer is… - ... dishonest,To what extent do you think the Buyer is… - ... immoral,To what extent do you think the answer the Buyer gave you was… - ... creative,To what extent do you think the answer the Buyer gave you was… - ... innovative,To what extent do you think the answer the Buyer gave you was… - ... original,Let’s imagine you had the chance to engage in another negotiation with the same Buyer. To what extent do you think you would be likely to negotiate with the same Buyer rather than looking for a different partner?,Let’s imagine you actually had to negotiate again with the same Buyer. To what extent do you think you would trust the Buyer?,What is your gender?,How old are you?,SurveyCode
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID27""}","{""ImportId"":""QID5""}","{""ImportId"":""QID6""}","{""ImportId"":""QID48_FIRST_CLICK""}","{""ImportId"":""QID48_LAST_CLICK""}","{""ImportId"":""QID48_PAGE_SUBMIT""}","{""ImportId"":""QID48_CLICK_COUNT""}","{""ImportId"":""QID47_FIRST_CLICK""}","{""ImportId"":""QID47_LAST_CLICK""}","{""ImportId"":""QID47_PAGE_SUBMIT""}","{""ImportId"":""QID47_CLICK_COUNT""}","{""ImportId"":""QID46_FIRST_CLICK""}","{""ImportId"":""QID46_LAST_CLICK""}","{""ImportId"":""QID46_PAGE_SUBMIT""}","{""ImportId"":""QID46_CLICK_COUNT""}","{""ImportId"":""QID49_FIRST_CLICK""}","{""ImportId"":""QID49_LAST_CLICK""}","{""ImportId"":""QID49_PAGE_SUBMIT""}","{""ImportId"":""QID49_CLICK_COUNT""}","{""ImportId"":""QID14_1""}","{""ImportId"":""QID14_2""}","{""ImportId"":""QID14_3""}","{""ImportId"":""QID15_1""}","{""ImportId"":""QID15_2""}","{""ImportId"":""QID15_3""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID16_2""}","{""ImportId"":""QID16_3""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21_TEXT""}","{""ImportId"":""SurveyCode""}"
2019-10-27 15:57:28,2019-10-27 15:59:09,0,171.66.12.82,100,100,1,2019-10-27 15:59:09,R_UxUUKtd8awOrNo5,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,12.604,0,,,,,0,0,2.851,0,,,,,5,6,5,5,6,6,4,3,3,4,3,2,24,35690
2019-10-27 15:59:21,2019-10-27 16:00:19,0,171.66.12.82,100,58,1,2019-10-27 16:00:19,R_2BsxC60nZ2mEV55,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.059,0,,,,,,,,,0,0,4.454,0,1,1,1,1,1,1,1,1,1,6,6,2,23,50184
2019-10-27 16:00:26,2019-10-27 16:01:24,0,171.66.12.82,100,57,1,2019-10-27 16:01:24,R_5mAkX0U2sGJ2GGd,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.007,0,0,0,1.212,0,,,,,,,,,6,5,4,6,4,4,3,3,3,4,4,1,5,62643
2019-10-27 16:01:31,2019-10-27 16:02:15,0,171.66.12.82,100,44,1,2019-10-27 16:02:16,R_1hZlbQF6VXqOOzp,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.333,0,,,,,,,,,0,0,4.948,0,2,2,2,2,1,2,1,2,1,5,5,2,18,35128
2019-10-27 16:02:22,2019-10-27 16:03:20,0,171.66.12.82,100,57,1,2019-10-27 16:03:20,R_3HHTOn6E9hcvAks,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,2.149,0,0,0,3.776,0,,,,,,,,,7,6,6,7,6,7,5,3,5,2,2,1,18,68063
2019-10-27 16:03:26,2019-10-27 16:04:06,0,171.66.12.82,100,40,1,2019-10-27 16:04:06,R_2TLa4LnANTF45wz,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.839,0,,,,,0,0,2.8,0,,,,,7,6,7,7,6,7,2,3,2,1,1,2,25,95847
2019-10-27 16:04:14,2019-10-27 16:04:56,0,171.66.12.82,100,41,1,2019-10-27 16:04:56,R_1pxuRjwQHsExpOs,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.678,0,0,0,2.498,0,,,,,,,,,6,6,6,6,6,7,6,6,6,1,2,2,50,49134
2019-10-27 16:05:02,2019-10-27 16:06:00,0,171.66.12.82,100,57,1,2019-10-27 16:06:00,R_2thEYCUsRhh47p9,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.48,0,,,,,0,0,4.469,0,,,,,6,7,6,7,7,7,2,2,2,2,2,1,45,57757
2019-10-27 16:06:08,2019-10-27 16:06:57,0,171.66.12.82,100,49,1,2019-10-27 16:06:58,R_2uCEDZSOL25WslV,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.412,0,,,,,,,,,0,0,0.853,0,4,4,4,4,4,4,3,3,3,4,4,2,38,98932
2019-10-27 16:07:08,2019-10-27 16:07:55,0,171.66.12.82,100,47,1,2019-10-27 16:07:56,R_br87mTlrkavL6Dv,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,2.12,0,,,,,,,,,0,0,2.617,0,2,1,2,1,1,1,1,1,1,6,6,1,30,91403
2019-10-27 16:08:03,2019-10-27 16:09:17,0,171.66.12.82,100,74,1,2019-10-27 16:09:18,R_vST1oHwHqp41EYx,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,30.1,0,,,,,0,0,3.514,0,,,,,6,7,6,6,7,6,1,1,1,1,1,2,43,89986
2019-10-27 16:09:31,2019-10-27 16:10:13,0,171.66.12.82,100,42,1,2019-10-27 16:10:14,R_6zHgOYcz6RFKrPr,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,1,21,0,0,1.272,0,0,0,2.685,0,,,,,,,,,6,6,6,6,6,6,4,4,4,2,2,2,27,17496
2019-10-27 16:10:20,2019-10-27 16:10:27,0,171.66.12.82,100,6,1,2019-10-27 16:10:27,R_1CmELPRvQHYs5od,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-10-27 16:10:33,2019-10-27 16:11:07,0,171.66.12.82,100,34,1,2019-10-27 16:11:07,R_Y9o4o2WGxNrQyjf,,,,,37.423004150390625,-122.1638946533203125,anonymous,EN,1,3,21,0,0,0.957,0,0,0,1.196,0,,,,,,,,,4,4,4,4,4,4,4,4,4,4,4,2,19,70600
